ISO3,SUBMISSION_DATE,NDC_INDC,TYPE_RECLASS,TYPE_MAIN,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
LKA,20161106,NDC,RBU,RBU,"{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NAN"": [""Agriculture"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NO"": [""Agriculture"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-3.8%""}}, ""conditional"": {""best"": {""2030"": ""-18.1%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,NAN,YES,YES,NAN,YES,YES,NO,YES,YES,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-3.8%""}}, ""conditional"": {""best"": {""2030"": ""-18.1%""}}}}}",,,
LSO,20180622,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2000"": ""2.355 MtCO2eq_SAR"", ""2020"": ""4.1 MtCO2eq_SAR"", ""2025"": ""4.822 MtCO2eq_SAR"", ""2030"": ""5.713 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""4.332 MtCO2eq_SAR"", ""2030"": ""5.142 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""3.653 MtCO2eq_SAR"", ""2030"": ""3.737 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.2%"", ""2030"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-34.4%"", ""2030"": ""-35%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-0.490 MtCO2eq_SAR"", ""2030"": ""-0.571 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-1.169 MtCO2eq_SAR"", ""2030"": ""-1.976 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""4.332 MtCO2eq_SAR"", ""2030"": ""5.142 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""3.653 MtCO2eq_SAR"", ""2030"": ""3.737 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-10.2%"", ""2030"": ""-10%""}}, ""conditional"": {""best"": {""2025"": ""-34.4%"", ""2030"": ""-35%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-0.490 MtCO2eq_SAR"", ""2030"": ""-0.571 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-1.169 MtCO2eq_SAR"", ""2030"": ""-1.976 MtCO2eq_SAR""}}}}}",,
LTU,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
LUX,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
LVA,20161005,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-40%""}}}}}",,,,
MAC,,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
MAR,20160919,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2010"": ""93.9 MtCO2eq_SAR"", ""2020"": ""121.6 MtCO2eq_SAR"", ""2025"": ""142.7 MtCO2eq_SAR"", ""2030"": ""170.8 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""99.9 MtCO2eq_SAR"", ""2030"": ""123.7 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""56.9 MtCO2eq_SAR"", ""2030"": ""50.0 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""116.7 MtCO2eq_SAR"", ""2030"": ""141.4 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""91.6 MtCO2eq_SAR"", ""2030"": ""98.9 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-15.8%"", ""2030"": ""-14.6%""}}, ""conditional"": {""best"": {""2025"": ""-31.5%"", ""2030"": ""-37.0%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-18.2%"", ""2030"": ""-17.2%""}}, ""conditional"": {""best"": {""2025"": ""-35.8%"", ""2030"": ""-42.1%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-22.6 MtCO2eq_SAR"", ""2030"": ""-25.0 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-44.9 MtCO2eq_SAR"", ""2030"": ""-63.2 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-26.0 MtCO2eq_SAR"", ""2030"": ""-29.4 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-51.1 MtCO2eq_SAR"", ""2030"": ""-71.9 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": {""exclLU"": {""conditional"": {""best"": { ""2030"": ""3 tCO2eq_SAR/capita""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""2.6 tCO2eq_SAR/capita""}}}}}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""99.9 MtCO2eq_SAR"", ""2030"": ""123.7 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""56.9 MtCO2eq_SAR"", ""2030"": ""50.0 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""116.7 MtCO2eq_SAR"", ""2030"": ""141.4 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""91.6 MtCO2eq_SAR"", ""2030"": ""98.9 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-15.8%"", ""2030"": ""-14.6%""}}, ""conditional"": {""best"": {""2025"": ""-31.5%"", ""2030"": ""-37.0%""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-18.2%"", ""2030"": ""-17.2%""}}, ""conditional"": {""best"": {""2025"": ""-35.8%"", ""2030"": ""-42.1%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-22.6 MtCO2eq_SAR"", ""2030"": ""-25.0 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-44.9 MtCO2eq_SAR"", ""2030"": ""-63.2 MtCO2eq_SAR""}}}, ""inclLU"": {""unconditional"": {""best"": {""2025"": ""-26.0 MtCO2eq_SAR"", ""2030"": ""-29.4 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-51.1 MtCO2eq_SAR"", ""2030"": ""-71.9 MtCO2eq_SAR""}}}}}",,"{""AEI"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""3 tCO2eq_SAR/capita""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""2.6 tCO2eq_SAR/capita""}}}}}"
MCO,20161026,NDC,ABS,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""1990"": ""0.11 MtCO2eq_AR4""}}}",1990,nan,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""0.055 MtCO2eq_AR4""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-50%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""0.055 MtCO2eq_AR4""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-50%""}}}}}",,,,
MDA,20170620,NDC,ABS,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""1990"": ""43.4 MtCO2eq_AR4"", ""1995"": ""17.4240 MtCO2eq_AR4"", ""2000"": ""10.7307 MtCO2eq_AR4"", ""2005"": ""12.7530 MtCO2eq_AR4"", ""2010"": ""14.1417 MtCO2eq_AR4"", ""2011"": ""14.1417 MtCO2eq_AR4"", ""2012"": ""13.3642 MtCO2eq_AR4"", ""2013"": ""12.8363 MtCO2eq_AR4""}, ""inclLU"": {""1990"": ""37.5 MtCO2eq_AR4"", ""1995"": ""16.3946 MtCO2eq_AR4"", ""2000"": ""9.3385 MtCO2eq_AR4"", ""2005"": ""12.3776 MtCO2eq_AR4"", ""2010"": ""13.2823 MtCO2eq_AR4"", ""2011"": ""13.7120 MtCO2eq_AR4"", ""2012"": ""10.8939 MtCO2eq_AR4"",  ""2013"": ""12.7 MtCO2eq_AR4""}, ""onlyLU"": {""1990"": ""-5.8866 MtCO2eq_AR4"", ""1995"": ""-1.0294 MtCO2eq_AR4"", ""2000"": ""-1.3922 MtCO2eq_AR4"", ""2005"": ""-0.3754 MtCO2eq_AR4"", ""2010"": ""-0.6571 MtCO2eq_AR4"", ""2011"": ""-0.4296 MtCO2eq_AR4"", ""2012"": ""-2.4704 MtCO2eq_AR4"", ""2013"": ""-0.0976 MtCO2eq_AR4""}}}",1990,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""9.7442 MtCO2eq_AR4""}, ""best"": {""2030"": ""8.4416 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""3.6655 MtCO2eq_AR4""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""-64%""}, ""best"": {""2030"": ""-67%""}}, ""conditional"": {""best"": {""2030"": ""-78%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""9.7442 MtCO2eq_AR4""}, ""best"": {""2030"": ""8.4416 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2030"": ""3.6655 MtCO2eq_AR4""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""worst"": {""2030"": ""-64%""}, ""best"": {""2030"": ""-67%""}}, ""conditional"": {""best"": {""2030"": ""-78%""}}}}}",,,,
MDG,20160921,NDC,ABS,RBU,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2000"": ""-202.865 MtCO2eq_SAR"", ""2010"": ""-63.121 MtCO2eq_SAR"", ""2020"": ""-23.609 MtCO2eq_SAR"", ""2030"": ""22.095 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""184.206 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-68.905 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-14%""}}}}, ""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-30 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-91 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""184.206 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-68.905 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-14%""}}}}}","{""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-30 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-91 MtCO2eq_SAR""}}}}}",,
MDV,20160422,NDC,ABS,RBU,"{""YES"": [""Energy"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""Waste""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4""], ""NAN"": [""HFCS"", ""PFCS"", ""NF3""], ""NO"": [""N2O"", ""SF6""]}","{""YES"": [""CO2"", ""CH4""], ""NO"": [""N2O"", ""SF6"", ""HFCS"", ""PFCS"", ""NF3""]}","{""EMI"": {""exclLU"": {""2011"": ""1.04 MtCO2eq (only energy consumption)"", ""2030"": ""3.3 MtCO2eq (only energy consumption)""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""2.97 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""2.508 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-24%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.3 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-0.8 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,YES,NAN,YES,NO,NO,NO,YES,NO,YES,YES,NO,NAN,NAN,NO,NAN,YES,YES,NO,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""2.97 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""2.508 MtCO2eq""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-24%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.3 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-0.8 MtCO2eq""}}}}}",,
MEX,20160921,NDC,ABS,RBU,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""inclLU"": {""2020"": ""792 MtCO2eq_AR5"", ""2025"": ""888 MtCO2eq_AR5"", ""2030"": ""973 MtCO2eq_AR5""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""758.940 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""622.720 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-22%""}}, ""conditional"": {""best"": {""2030"": ""-36%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-214.060 MtCO2eq_AR5""}}, ""conditional"": {""best"": {""2030"": ""-350.280 MtCO2eq_AR5""}}}}, ""REI"": NaN, ""AEI"": NaN}",2030,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""758.940 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""622.720 MtCO2eq""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-22%""}}, ""conditional"": {""best"": {""2030"": ""-36%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-214.060 MtCO2eq_AR5""}}, ""conditional"": {""best"": {""2030"": ""-350.280 MtCO2eq_AR5""}}}}}",,
MHL,20181122,NDC,ABS,RBY,"{""YES"": [""Energy"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""Other""], ""NO"": [""LULUCF""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2010"": ""0.185 MtCO2eq""}}}",2010,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.126 MtCO2eq"", ""2030"": ""0.102 MtCO2eq"", ""2035"": ""0.078 MtCO2eq""}}}}, ""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-32%"", ""2030"": ""-45%"", ""2035"": ""-58%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NO,YES,NAN,YES,YES,YES,NO,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""0.126 MtCO2eq"", ""2030"": ""0.102 MtCO2eq"", ""2035"": ""0.078 MtCO2eq""}}}}}","{""RBY"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-32%"", ""2030"": ""-45%"", ""2035"": ""-58%""}}}}}",,,,
MKD,20180109,NDC,RBU,RBU,"{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2""], ""NAN"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""exclLU"": {""conditional"": {""worst"": {""2030"": ""-30%""}, ""best"": {""2030"": ""-36%""}}}}, ""ABU"": {""exclLU"": {""conditional"": {""worst"": {""2030"": ""-5.228 MtCO2eq_SAR""}, ""best"": {""2030"": ""-6.304 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NO,NO,NO,NO,NAN,YES,NO,NO,NO,NO,NO,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NO,NO,NO,,,"{""RBU"": {""exclLU"": {""conditional"": {""worst"": {""2030"": ""-30%""}, ""best"": {""2030"": ""-36%""}}}}}","{""ABU"": {""exclLU"": {""conditional"": {""worst"": {""2030"": ""-5.228 MtCO2eq_SAR""}, ""best"": {""2030"": ""-6.304 MtCO2eq_SAR""}}}}}",,
