ISO3,NDC_INDC,TYPE_MAIN,TYPE_RECLASS,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
PRY,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2011"": ""140 MtCO2eq_SAR"", ""2020"": ""232 MtCO2eq_SAR"", ""2030"": ""416 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""374 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""333 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-20%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-42 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-83 MtCO2eq_Sar""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""374 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""333 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-10%""}}, ""conditional"": {""best"": {""2030"": ""-20%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-42 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2030"": ""-83 MtCO2eq_Sar""}}}}}",,
QAT,NDC,NGT,NGT,"{""YES"": [""Energy"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""Waste""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Other""]}",nan,"{""YES"": [""CH4"", ""HFCS""], ""NAN"": [""CO2"", ""N2O"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""HFCS""], ""NAN"": [""N2O"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,NAN,YES,NAN,YES,NO,NO,NO,YES,NO,NAN,YES,NAN,YES,NAN,NAN,NAN,YES,YES,NAN,YES,NAN,NAN,NAN,,,,,,
ROU,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
RUS,NDC,RBY,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""1990"": ""3100 MtCO2eq_AR4""}}}",1990,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""2170 MtCO2eq_AR4""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-30%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""2170 MtCO2eq_AR4""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-30%""}}}}}",,,,
RWA,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste""], ""NAN"": [""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NAN"": [""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NO"": [""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2015"": ""5.33 MtCO2eq"", ""2020"": ""7.42 MtCO2eq"", ""2025"": ""9.61 MtCO2eq"", ""2030"": ""12.1 MtCO2eq""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""10.2 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""7.5 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-16%""}}, ""conditional"": {""best"": {""2030"": ""-38%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-1.9 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-4.6 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,NAN,YES,NAN,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""10.2 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""7.5 MtCO2eq""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-16%""}}, ""conditional"": {""best"": {""2030"": ""-38%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-1.9 MtCO2eq""}}, ""conditional"": {""best"": {""2030"": ""-4.6 MtCO2eq""}}}}}",,
SAU,NDC,NGT,ABU,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NO"": [""IPPU"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4""], ""NAN"": [""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4""], ""NO"": [""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-130 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,NO,YES,YES,YES,NO,YES,YES,NAN,NAN,NAN,NAN,NAN,YES,YES,NO,NO,NO,NO,NO,,,,"{""ABU"": {""inclLU"": {""conditional"": {""best"": {""2030"": ""-130 MtCO2eq""}}}}}",,
SDN,NDC,NGT,NGT,"{""YES"": [""Energy"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Agriculture"", ""Other""]}","{""YES"": [""Energy"", ""LULUCF""], ""NO"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""1995"": ""72.014 MtCO2eq_SAR"", ""2000"": ""77.65 MtCO2eq_SAR""}}}",,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,YES,NAN,YES,NO,NO,YES,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,,
SEN,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""1994"": ""9.3179 MtCO2eq_SAR"", ""2000"": ""13.298 MtCO2eq_SAR"", ""2005"": ""13.084 MtCO2eq_SAR"", ""2010"": ""16.752 MtCO2eq_SAR"", ""2015"": ""21.637 MtCO2eq_SAR"", ""2020"": ""25.404 MtCO2eq_SAR"", ""2025"": ""32.648 MtCO2eq_SAR"", ""2030"": ""37.761 MtCO2eq_SAR""}, ""onlyLU"": {""1994"": ""-5.997 MtCO2eq_SAR"", ""2000"": ""-10.555 MtCO2eq_SAR"", ""2005"": ""-11.434 MtCO2eq_SAR"", ""2010"": ""-12.827 MtCO2eq_SAR"", ""2025"": ""-11.573 MtCO2eq_SAR"", ""2030"": ""-11.511 MtCO2eq_SAR""}, ""inclLU"": {""1994"": ""3.3209 MtCO2eq_SAR"", ""2000"": ""2.7430 MtCO2eq_SAR"", ""2005"": ""1.6500 MtCO2eq_SAR"", ""2010"": ""3.925 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""30.987 MtCO2eq_SAR"", ""2030"": ""35.106 MtCO2eq_SAR""}}, ""conditional"": {""best"": { ""2025"": ""24.883 MtCO2eq_SAR"", ""2030"": ""26.611 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-5%"", ""2030"": ""-7%""}}, ""conditional"": {""best"": { ""2025"": ""-23.7%"", ""2030"": ""-29.5%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-1.662 MtCO2eq_SAR"", ""2030"": ""-2.655 MtCO2eq_SAR""}}, ""conditional"": {""best"": { ""2025"": ""-7.766 MtCO2eq_SAR"", ""2030"": ""-11.150 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""30.987 MtCO2eq_SAR"", ""2030"": ""35.106 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""24.883 MtCO2eq_SAR"", ""2030"": ""26.611 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-5%"", ""2030"": ""-7%""}}, ""conditional"": {""best"": {""2025"": ""-23.7%"", ""2030"": ""-29.5%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-1.662 MtCO2eq_SAR"", ""2030"": ""-2.655 MtCO2eq_SAR""}}, ""conditional"": {""best"": {""2025"": ""-7.766 MtCO2eq_SAR"", ""2030"": ""-11.150 MtCO2eq_SAR""}}}}}",,
SGP,NDC,ABS,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,GDP,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""65 MtCO2eq_AR5""}}}}, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-36%""}}}}, ""AEI"": NaN}",2030,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""65 MtCO2eq_AR5""}}}}}",,,,"{""REI"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-36%""}}}}}",
SGS,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
SHN,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
SLB,NDC,RBU,RBU,"{""YES"": [""Energy"", ""LULUCF""], ""NAN"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""LULUCF""], ""NO"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-12%"", ""2030"": ""-30%""}}, ""conditional"": {""best"": {""2025"": ""-27%"", ""2030"": ""-45%"", ""2050"": ""-50%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-0.008300 MtCO2eq"", ""2030"": ""-0.008300 MtCO2eq""}}, ""conditional"": {""best"": {""2025"": ""-0.018800 MtCO2eq"", ""2030"": ""-0.031125 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,NAN,NAN,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,,,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-12%"", ""2030"": ""-30%""}}, ""conditional"": {""best"": {""2025"": ""-27%"", ""2030"": ""-45%"", ""2050"": ""-50%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-0.008300 MtCO2eq"", ""2030"": ""-0.008300 MtCO2eq""}}, ""conditional"": {""best"": {""2025"": ""-0.018800 MtCO2eq"", ""2030"": ""-0.031125 MtCO2eq""}}}}}",,
SLE,NDC,NGT,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2015"": ""4.765 MtCO2eq_SAR"", ""2020"": ""5.239 MtCO2eq_SAR"", ""2025"": ""5.851 MtCO2eq_SAR"", ""2030"": ""6.551 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2035"": ""7.58 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2035"": ""7.58 MtCO2eq""}}}}}",,,,,
SLV,NDC,RBU,RBU,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy""], ""NO"": [""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-46%""}}, ""conditional"": {""best"": {""2025"": ""-61%""}}}}, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,NO,NO,NO,NO,NO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2025"": ""-46%""}}, ""conditional"": {""best"": {""2025"": ""-61%""}}}}}",,,
SMR,NDC,RBY,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2005"": ""0.213 MtCO2eq_SAR""}}}",2005,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""0.1704 MtCO2eq_SAR""}}}}, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-20%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""0.1704 MtCO2eq_SAR""}}}}}","{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-20%""}}}}}",,,,
SOM,NDC,NGT,NGT,"{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NO"": [""IPPU"", ""Other""]}",nan,"{""NAN"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,NO,YES,YES,YES,NO,NAN,NAN,NAN,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,,
SRB,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-9.8%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-9.8%""}}}}}",,,,
SSD,INDC,NGT,NGT,"{""YES"": [""Energy"", ""LULUCF""], ""NAN"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""LULUCF""], ""NO"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2""], ""NAN"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,NAN,NAN,YES,NO,NO,YES,NO,NO,YES,NAN,NAN,NAN,NAN,NAN,NAN,YES,NO,NO,NO,NO,NO,NO,,,,,,
STP,NDC,ABU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2005"": ""0.093 MtCO2eq"", ""2030"": ""0.240 MtCO2eq""}, ""onlyLU"": {""2030"": ""-0.630 MtCO2eq""}, ""inclLU"": {""2030"": ""-0.390 MtCO2eq""}}}",,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""0.183 MtCO2eq""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.447 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-24%""}}}}, ""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-0.057 MtCO2eq""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.057 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""0.183 MtCO2eq""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.447 MtCO2eq""}}}}}",,"{""RBU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-24%""}}}}}","{""ABU"": {""exclLU"": {""conditional"": {""best"": {""2030"": ""-0.057 MtCO2eq""}}}, ""inclLU"": {""conditional"": {""best"": {""2030"": ""-0.057 MtCO2eq""}}}}}",,
SUR,NDC,NGT,NGT,"{""YES"": [""Energy"", ""LULUCF""], ""NAN"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}","{""YES"": [""Energy"", ""LULUCF""], ""NO"": [""IPPU"", ""Agriculture"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,,nan,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,NAN,YES,NAN,NAN,YES,NO,NO,YES,NO,NO,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,,,,,,
SVK,NDC,RBY,RBY,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}",nan,1990,nan,"{""ABS"": NaN, ""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,"{""RBY"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-55%""}}}}}",,,,
